company_id,year,net_profit_margin_pct,operating_profit_margin_pct,return_on_equity_pct,return_on_assets_pct,debt_to_equity,interest_coverage,asset_turnover,free_cash_flow,cfo_quality_score,capex_intensity,fcf_conversion,earnings_per_share,book_value_per_share,dividend_payout_ratio_pct,total_debt_cr,cash_from_operations_cr,revenue_cagr_5yr,pat_cagr_5yr,eps_cagr_5yr,composite_quality_score
ABB,Dec 2012,8.771929824561402,12.220205686630369,22.411128284389488,15.986769570011026,0.0,,1.822491730981257,42.0,Moderate,Moderate,20.792079207920793,68.0,30.80952380952381,25.0,0.0,101.0,29.695799441852433,54.705952876290674,54.82792463083068,37.0
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,17.383669885864794,0.0,,1.9982440737489024,11.0,Moderate,Moderate,4.119850187265917,93.0,37.523809523809526,25.0,0.0,155.0,29.695799441852433,54.705952876290674,54.82792463083068,47.0
ABB,Mar 2014,8.699472759226714,11.731107205623902,25.12690355329949,17.383669885864794,0.0,,1.9982440737489024,0.0,Accrual Risk,Asset Light,0.0,93.0,37.523809523809526,25.0,0.0,0.0,29.695799441852433,54.705952876290674,54.82792463083068,47.0
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,16.666666666666664,0.0,,1.665938864628821,28.0,Moderate,Capital Intensive,8.974358974358974,108.0,44.61904761904762,29.0,0.0,215.0,29.695799441852433,54.705952876290674,54.82792463083068,54.60000000000001
ABB,Mar 2015,10.004368719965049,13.630406290956751,24.439701173959445,16.666666666666664,0.0,,1.665938864628821,-1899.0,Accrual Risk,Capital Intensive,-608.6538461538462,108.0,44.61904761904762,29.0,0.0,-35.0,29.695799441852433,54.705952876290674,54.82792463083068,54.60000000000001
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,15.77970297029703,0.0,138.33333333333334,1.6175742574257426,172.0,Moderate,Asset Light,47.12328767123288,120.0,56.904761904761905,29.0,0.0,249.0,29.695799441852433,54.705952876290674,54.82792463083068,59.400000000000006
ABB,Mar 2016,9.755164498852334,13.963274674827849,21.338912133891213,15.77970297029703,0.0,138.33333333333334,1.6175742574257426,728.0,High Quality,Capital Intensive,199.45205479452056,120.0,56.904761904761905,29.0,0.0,1544.0,29.695799441852433,54.705952876290674,54.82792463083068,59.400000000000006
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,13.407550822846078,0.0,227.5,1.40513068731849,152.0,High Quality,Moderate,38.19095477386934,130.0,66.04761904761905,31.0,0.0,307.0,29.695799441852433,54.705952876290674,54.82792463083068,63.800000000000004
ABB,Mar 2017,9.541853255253187,13.709955218739237,19.971160778658977,13.407550822846078,0.0,227.5,1.40513068731849,459.0,High Quality,Capital Intensive,115.32663316582914,130.0,66.04761904761905,31.0,0.0,2189.0,29.695799441852433,54.705952876290674,54.82792463083068,63.800000000000004
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,16.5976821192053,0.0,160.5,1.365066225165563,-62.0,Accrual Risk,Moderate,-11.80952380952381,189.0,80.61904761904762,29.0,0.0,153.0,29.695799441852433,54.705952876290674,54.82792463083068,87.80000000000001
ABB,Mar 2018,12.15888417222559,15.918738629472406,23.685764914353218,16.5976821192053,0.0,160.5,1.365066225165563,-994.0,High Quality,Capital Intensive,-189.33333333333334,189.0,80.61904761904762,29.0,0.0,2198.0,29.695799441852433,54.705952876290674,54.82792463083068,87.80000000000001
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,15.300918055083304,0.0,359.0,1.2509350561033663,242.0,High Quality,Moderate,40.0,212.0,95.61904761904762,31.0,0.0,499.0,29.695799441852433,54.705952876290674,54.82792463083068,97.40000000000002
ABB,Mar 2019,12.231584669747214,16.444686055993476,22.410358565737052,15.300918055083304,0.0,359.0,1.2509350561033663,-459.0,High Quality,Capital Intensive,-75.86776859504131,212.0,95.61904761904762,31.0,0.0,2591.0,29.695799441852433,54.705952876290674,54.82792463083068,97.40000000000002
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,16.718353538201296,0.07198683669271905,96.77777777777777,1.153932901043135,225.0,High Quality,Capital Intensive,29.722589167767506,279.0,115.76190476190476,90.0,175.0,626.0,29.695799441852433,54.705952876290674,54.82792463083068,136.8
ABB,Mar 2020,14.488150500855118,18.49499144881505,24.39325380501851,16.718353538201296,0.07198683669271905,96.77777777777777,1.153932901043135,-206.0,High Quality,Capital Intensive,-27.212681638044916,279.0,115.76190476190476,90.0,175.0,5437.0,29.695799441852433,54.705952876290674,54.82792463083068,136.8
ABB,Mar 2021,16.03248259860789,21.392111368909514,26.5564950038432,17.994791666666668,0.058800922367409685,55.72222222222222,1.1223958333333333,655.0,High Quality,Asset Light,71.04121475054231,325.0,123.9047619047619,85.0,153.0,727.0,29.695799441852433,54.705952876290674,54.82792463083068,155.4
